Tahun;Klasifikasi; Pendapatan Negara; Penerimaan Dalam Negeri; Penerimaan Perpajakan; Pendapatan Pajak Dalam Negeri; Pendapatan Pajak Penghasilan; Pendapatan Pajak Pertambahan Nilai dan PPnBM; Pendapatan Pajak Bumi dan Bangunan; Pendapatan Pajak lainnya; Pendapatan Cukai; Pendapatan Pajak Perdagangan Internasional; Bea Masuk; Bea Keluar; Penerimaan Negara Bukan Pajak; Penerimaan SDA; Pendapatan dari Kekayaan Negara Dipisahkan; Pendapatan PNBP Lainnya; Pendapatan Badan Layanan Umum; Penerimaan Hibah; Belanja Negara; Belanja Pemerintah Pusat; Belanja Pegawai; Belanja Barang; Belanja Modal; Subsidi; Belanja Hibah; Bantuan Sosial; Belanja Lain-lain; Transfer Ke Daerah; Dana Bagi Hasil; Dana Alokasi Umum; Dana Alokasi Khusus; Dana Otonomi Khusus; Keseimbangan Primer; Surplus/Defisit Anggaran (A - B); Pembiayaan Anggaran
2017;Realisasi;1666375.9;1654746.1;1343529.8;1304316.3;637859.3;480724.6;16770.3;15672.6;153288.1;39213.6;35066.2;4147.4;311216.3;111.132,00;43904.2;108834.6;47345.4;11629.8;1265359.4;1265359.4;312728.8;291459.1;208656.7;166401.1;5445.7;55297.2;8802.9;741992.4;88232.2;398582.3;167.668,00;19443.3;-124407.9;-340975.9;366623.8
2018;Realisasi;1943674.9;1.928.110,00;1518789.8;1.472.908,00;739864.9;537267.9;19444.9;16741.6;159588.6;45881.8;39116.7;6765.1;409320.2;180592.6;45060.5;128.574,00;55093.1;15564.9;1455324.8;1455324.8;346890.8;347468.3;184127.6;216883.3;1520.6;84318.4;16163.8;757792.9;93.704,00;401489.6;173449.6;20059.6;-11490.8;-269442.9;305692.6
2019;Realisasi;1.960.641,00;1.955.141,00;1.546.141,00;1.505.090,00;772.300,00;531.600,00;21.100,00;7.700,00;172.390,00;41.051,00;37.514,00;3.537,00;409.000,00;154.900,00;80.700,00;124.500,00;48.900,00;5.500,00;1496313.9;1496313.9;376074.3;334418.2;177841.5;201802.6;6476.2;112480.3;11699.7;812973.4;103.980,00;420910.2;186394.7;20979.9;-73125.1;-348646.3;402051.5
2020;Realisasi;1647783.3;1628950.5;1285136.3;1248415.1;594033.3;450328.1;20953.6;6790.8;176309.3;36721.2;32443.5;4277.7;343814.2;97225.1;66080.5;111200.3;69308.3;18832.8;1832950.9;1832950.9;380532.2;422338.2;190919.8;196231.5;6275.9;202.530,00;120035.2;762530.2;93906.4;381612.5;176578.8;19556.7;-633609.7;-947697.8;1193293.8
2021;Realisasi;2011347.1;2.006.334,00;1547841.1;1474145.7;696676.6;551900.5;18924.8;11.126,00;195517.8;73695.4;39122.7;34572.7;458.493,00;149489.4;30496.8;152.504,00;126002.8;5.013,00;2000703.8;2000703.8;387752.5;530059.3;239632.3;242086.8;4.319,00;173654.1;79704.4;785707.6;117.157,00;377791.4;184638.3;19482.9;-431568.9;-775064.3;871723.2
2022;Realisasi;2.635.843,00;2.630.147,00;2034552.4;1943654.8;998213.8;687609.5;23264.7;7686.1;226880.8;90897.7;51077.7;39819.9;595594.6;268770.9;40597.1;196324.3;89902.3;5696.1;2280027.9;2280027.9;402441.7;426149.1;240570.3;252812.9;5803.3;161523.1;404385.8;816234.8;168414.1;378.000,00;173164.6;20436.3;742.157,00;355815.2;590978.1
2023;Realisasi;2783929.7;2766745.5;2154208.2;2089718.3;1.061.234,00;763632.7;33270.7;9729.8;221851.1;64489.9;50891.8;13598.2;612537.3;254.203,00;82058.7;180415.1;95860.4;17184.2;3121217.2;2239786.7;412711.3;432.715,00;303041.3;269592.1;219.1;156601.6;225023.7;881430.5;205666.6;398029.6;181357.6;17241.3;102.595,00;-337287.6;356663.8
2024;Realisasi;1123516.28;1120853.58;869501.85;769607.18;473028.61;282344.67;1906.6;3096.87;81117.67;28007.44;20307.93;7699.61;227068.66;95705.45;58804.58;64112.93;32728.86;2662.7;1145274.07;824300.72;202445.93;142380.92;58443.55;77845.14;0;70461.72;66809.3;320973.37;45120.07;186321.51;51829.03;2835.77;184156.4;-21757.78;84585.09
2010;Capaian %;100.29;100.18;97.31;96.34;98.57;87.69;112.88;103.3;111.64;128.16;117.01;163.12;108.81;102.49;102.02;136.73;111.64;159.4;89.24;89.24;91.04;86.68;84.49;95.75;28.78;96.4;65.82;100.03;102.86;99.98;99.14;92.62;122.03;141.26;68.45
2011;Capaian %;103.48;103.44;99.45;98.56;99.8;93.08;102.87;5.77;1836.28;115.3;117.51;113.43;115.67;111.38;97.74;137.79;130.41;112.69;97.3;97.3;96.1;87.27;83.61;124.52;74.12;86.91;35.04;99.71;100.14;100;98.3;98.63;114.09;124.92;86.82
2012;Capaian %;98.52;98.15;96.49;96.13;90.54;100.45;97.58;74.77;114.12;103.57;114.88;91.52;103.13;104;100.07;100.91;106.35;701.33;94.49;94.49;93.22;86.96;82.42;141.35;4.19;87.9;5.94;100.39;102.87;100;313.81;16.97;0;0;92.14
2013;Capaian %;95.8;95.63;93.81;93.63;94;90.8;92.54;91.39;103.55;98.01;102.63;89.93;101.6;111.13;93.33;81.51;104.89;152.39;95.01;95.01;95.15;82.19;93.91;101.99;55.53;111.7;17.47;96.96;86.14;100;311.41;16.04;0;0;105.89
2014;Capaian %;94.81;94.64;92.04;92.72;95.84;86.04;107.97;121.5;100.54;77.55;90.59;54.98;103.01;99.89;100.79;103.27;142.26;216.53;94;94;94.31;90.48;91.64;97.25;31.81;101.31;41.7;96.18;88.34;100;335.12;15.51;0;0;103.06
2015;Capaian %;85.6;85.08;83.29;83.71;88.66;73.5;109.59;47.47;99.25;70.93;83.9;30.92;95;84.91;101.86;90.66;152.95;361.51;89.67;89.67;93.93;89.83;85.2;87.68;91.76;93.8;31.75;93.76;70.92;100;258.59;14.08;0;0;145.21
2016;Capaian %;87.11;86.7;83.48;83.12;76.79;86.92;109.78;231.35;96.92;98.88;97.3;119.94;106.89;71.7;108.69;140.26;115.65;455.03;88.32;88.32;89.11;85.34;82.04;98.02;83.51;92.9;26.74;91.5;83;100;77.66;100;0;0;112.73
2017;Capaian %;95.99;95.49;91.23;90.78;81.36;101.1;108.81;180.14;100.08;108.99;105.37;153.61;119.59;116.19;107.08;127.95;122.84;374.18;92.57;92.57;91;98.4;91.48;98.53;98.44;93.78;17.65;96.82;92.51;100;90.81;100;0;0;92.29
2018;Capaian %;102.58;101.83;93.86;93.26;86.52;99.16;111.95;172.74;102.7;118.56;109.57;225.5;148.61;174.19;100.82;153.52;127.22;1300.43;100.06;100.06;94.86;102.16;90.31;138.82;104.09;103.76;24.04;98.91;105.02;100;93.31;100;0;0;93.79
2019;Capaian %;90.56;90.32;86.55;86.35;86.34;81.11;110.45;89.44;104.16;94.76;96.44;79.98;108.12;81.2;177.02;132.35;102.12;1263.5;91.55;91.55;98.56;96.87;93.93;89.96;333.7;110.21;10.26;98.33;97.77;100.73;93.03;100;0;0;135.83
2020;Capaian %;96.93;95.9;91.5;91.06;88.61;88.73;155.88;90.72;102.39;109.66;101.92;258.75;116.89;122.93;101.66;111.14;138.62;1448.68;92.8;92.8;94.26;154.61;138.97;102.19;123.73;116.05;26.64;99.82;108.66;99.28;96.72;100;0;0;114.83
2021;Capaian %;115.35;115.12;107.15;104.58;101.89;106.43;127.61;89.51;108.62;210.8;117.94;1933.7;153.75;143.59;116.71;139.69;214.33;555.27;102.36;102.36;92.07;146.23;97.1;138.06;63.69;107.57;38.45;98.77;114.9;96.8;94;97.5;0;0;86.62
2022;Capaian %;116.31;116.09;114.05;114;122.68;107.61;111.29;67.53;103.13;115.02;120.64;108.53;123.66;118.65;109.46;174.94;84.97;982.26;99.06;99.06;94.35;125.44;120.77;89.13;120.29;109.56;81.79;101.42;119.93;100;91.33;100;0;0;70.34
2023;Capaian %;113.03;112.35;106.58;106.43;113.49;102.78;106.26;111.84;90.39;111.69;107.08;133.15;138.77;129.71;167.13;159.24;115.47;4197.41;138.94;99.7;93.26;114.8;144.86;90.32;2169.31;105.41;68.33;108.19;150.94;100.51;97.61;100;0;0;59.63
2024;Capaian %;40.09;40;37.64;34.43;41.5;34.8;7.01;29.36;32.96;37.39;35.4;43.93;46.15;46.09;68.5;55.68;39.27;618.37;34.44;33.41;41.79;34.98;23.62;27.22;0;44.79;17.22;37.43;31.53;43.56;27.55;15.52;0;0;16.18
