Tahun;Klasifikasi; Pendapatan Negara; Penerimaan Dalam Negeri; Penerimaan Perpajakan; Pendapatan Pajak Dalam Negeri; Pendapatan Pajak Penghasilan; Pendapatan Pajak Pertambahan Nilai dan PPnBM; Pendapatan Pajak Bumi dan Bangunan; Pendapatan Pajak lainnya; Pendapatan Cukai; Pendapatan Pajak Perdagangan Internasional; Bea Masuk; Bea Keluar; Penerimaan Negara Bukan Pajak; Penerimaan SDA; Pendapatan dari Kekayaan Negara Dipisahkan; Pendapatan PNBP Lainnya; Pendapatan Badan Layanan Umum; Penerimaan Hibah; Belanja Negara; Belanja Pemerintah Pusat; Belanja Pegawai; Belanja Barang; Belanja Modal; Subsidi; Belanja Hibah; Bantuan Sosial; Belanja Lain-lain; Transfer Ke Daerah; Dana Bagi Hasil; Dana Alokasi Umum; Dana Alokasi Khusus; Dana Otonomi Khusus; Keseimbangan Primer; Surplus/Defisit Anggaran (A - B); Pembiayaan Anggaran
2010;Target;992398.8;990502.3;743325.9;720764.5;362219;262963;25319.1;3841.9;59265.9;22561.4;17106.8;5454.6;247176.4;164726.7;29500;43462.8;9486.9;1896.5;781533.5;781533.5;162659;112594.1;95024.6;201263;243.2;71172.8;32926.7;344612.9;89618.4;203606.5;21138.4;30249.6;316515.5;210865.2;133747.7
2011;Target;1169914.6;1165252.5;878685.2;831745.3;431977;298441.4;29057.8;68075.3;4193.8;46939.9;21500.8;25439.1;286567.3;191976;28835.8;50339.4;15416;4662.1;908243.4;908243.4;182875;142825.9;140952.5;237194.7;404.9;81810.4;15596.2;412507.9;96772.1;225533.7;25232.8;64969.3;368255;261671.2;150836.7
2012;Target;1358205;1357380;1016237.3;968293.2;513650.2;336057;29687.5;5632;83266.6;47944.1;24737.9;23206.2;341142.6;217158.9;30776.3;72799.4;20408;825.1;1069534.4;1069534.4;212255.1;162012.3;176051.4;245076.3;1790.9;86028;68535;478775.9;108421.7;273814.4;26115.9;70423.9;-72319.9;-190105.3;190105.3
2013;Target;1502005;1497521.4;1148364.7;1099943.6;538759.9;423708.3;27343.8;5402;104729.7;48421.1;30811.7;17609.4;349156.7;203730;36456.5;85471.5;23498.7;4483.6;1196828.4;1196828.4;232978.6;206507.3;192600.4;348119;2346.5;82487.9;19270.8;529362.9;102695;311139.3;31697.1;83831.5;-111668.4;-224186.3;224186.3
2014;Target;1635378.5;1633053.4;1246107;1189826.6;569866.7;475587.2;21742.9;5179.6;117450.2;56280.4;35676;20604.4;386946.4;241114.6;40000;84968.4;20863.4;2325.1;1280368.6;1280368.6;258435.6;195206.8;160790.5;403035.6;2853.3;96655.4;27938.3;596504.3;117663.6;341219.4;33000;104097.4;-106041.1;-241494.3;241494.3
2015;Target;1761642.8;1758330.9;1489255.5;1439998.6;679370.1;576469.2;26689.9;11729.5;145739.9;49256.9;37203.9;12053;269075.4;118919.1;36956.5;90109.6;23090.2;3311.9;1319549;1319549;299299.6;259688;252844.5;212104.4;4644.2;103573.6;31663.9;664600.6;110051.9;352887.8;58820.7;121526.6;-66776.1;-222506.9;222506.9
2016;Target;1786225;1784249.9;1539166.2;1503294.7;855842.7;474235.3;17710.6;7414.9;148091.2;35871.5;33371.5;2500;245083.6;90524.3;34164;84124;36271.2;1975.2;1306696;1306696;342447.4;304241.8;206567.4;177754.5;8537.3;53403.8;22525.5;776252.9;109075.9;385360.9;211022.2;18264.4;-105505.6;-296723.9;296723.9
2017;Target;1736060.2;1732952.1;1472709.9;1436730.9;783970.3;475483.5;15412.1;8700;153165;35979;33279;2700;260242.2;95643.1;41000;85057.6;38541.4;3108.1;1366956.6;1366956.6;343655.5;296208.6;228100;168876.8;5532.2;58962.1;49874.3;766339.3;95377.2;398582.3;184636.5;19443.3;-178039.3;-397235.8;397235.8
2018;Target;1894720.3;1893523.5;1618095.5;1579395.5;855133.5;541801.1;17369.1;9691.8;155400;38700;35700;3000;275428;103674.9;44695.4;83753.1;43304.6;1196.9;1454494.4;1454494.4;365691.6;340130.2;203879.4;156228.1;1460.8;81259.8;67237.4;766162.6;89225.3;401489.6;185888.1;20059.6;-87329.5;-325936.6;325936.6
2019;Target;2165111.8;2164676.5;1786378.7;1743056.9;894448.7;655394.9;19103.6;8608.7;165501;43321.8;38899.3;4422.5;378297.8;190754.8;45589.3;94069.3;47884.5;435.3;1634339.5;1634339.5;381561.1;345230.7;189343.2;224320.9;1940.7;102055.5;114002.3;826772.5;106350.2;417873.6;200368.8;20979.9;-20114.9;-296000.2;296000.2
