Tahun ,PDB Triwulan , Pengeluaran Konsumsi Rumahtangga," Makanan dan Minuman, Selain Restoran"," Pakaian, Alas Kaki dan Jasa Perawatannya", Perumahan dan Perlengkapan Rumahtangga, Kesehatan dan Pendidikan, Transportasi dan Komunikasi, Restoran dan Hotel, Lainnya, Pengeluaran Konsumsi LNPRT, Pengeluaran Konsumsi Pemerintah, Konsumsi Kolektif, Konsumsi Individu, Pembentukan Modal Tetap Domestik Bruto, Bangunan, Mesin dan Perlengkapan, Kendaraan, Peralatan Lainnya, CBR, Produk Kekayaan Intelektual, Perubahan Inventori, Ekspor Barang dan Jasa, Barang, Barang Non-migas, Barang migas, Jasa, Dikurangi Impor Barang dan Jasa, Barang, Barang Non-migas, Barang migas, Jasa,#VALUE!, PRODUK DOMESTIK BRUTO
2011,Triwulan II,980156.57,367145.02,39887.97,133798.32,66442.31,234733.71,87391.93,50757.32,18834.85,145606.7,93826.24,51780.46,568551.72,415367.6,66814.63,32123.84,8262.7,33524.92,12458.04,54630.48,480363.29,442826.57,362825.82,80000.75,37536.71,434406.63,369061.47,295321.18,73740.28,65345.17,2531.22,1816268.2
2012,Triwulan II,1034180.15,381432.42,42551.13,141726.37,70398.64,250779.48,94004.39,53287.72,20129.08,170034.9,105947.24,64087.66,626152.32,442857.12,77351.53,42851.85,9156.43,35995.69,17939.7,67575.42,488592.47,446015.22,367016.1,78999.12,42577.26,501419.31,430680.7,350787.39,79893.31,70738.61,23773.67,1929018.7
2013,Triwulan II,1089835.21,397643.44,44726.05,149444.17,74282.08,267676.3,99005.11,57058.06,21424,175299.71,112591.99,62707.72,659187.45,478407.78,76078.36,42811.78,9155.38,36752.13,15982.02,78636.43,498870.82,451310.76,389014.18,62296.58,47560.07,505845.09,433428.5,353048.64,80379.86,72416.59,19408.07,2036816.6
2014,Triwulan II,1146012.15,415635.89,47122.05,156887.17,78309.55,282935.51,105186.91,59935.07,26228,172068.01,110201.85,61866.16,685670.41,501895.76,77542.86,40320.88,9959.02,34975.03,20976.85,74379.36,506111.51,455636.07,398850.49,56785.58,50475.44,507999.08,437213.88,361967.94,75245.94,70785.2,34915.24,2137385.6
2015,Triwulan II,1202958.28,438593.71,49471.88,164669.52,82575.17,295886.08,110331.06,61430.86,24135.73,176584.36,106710.89,69873.47,713107.13,525591.91,74239.71,37799.38,10815.58,41550.23,23110.32,57014.65,504800.7,454288.52,392829.33,61459.18,50512.18,472071.45,402719.52,319995.89,82723.63,69351.92,32175,2238704.4
2016,Triwulan II,1264230.04,462157.42,51390.8,172785.77,87278.19,311036.38,116506.14,63075.34,25759.71,187555.5,115234.46,72321.04,742915.46,552231.51,68812.49,39770.29,11756.07,46028,24317.1,56147.8,497198.62,445134.81,382860.98,62273.83,52063.81,455895.82,389892.12,310190.85,79701.27,66003.71,37533.69,2355445
2017,Triwulan II,1326685.98,486016.27,53353.19,179575.61,91658.03,328325.83,123186.02,64571.02,27957.74,183934.52,111629.98,72304.54,782620.7,585748.51,67309.52,44754.92,13341.63,46970.68,24495.43,57137.14,510668.86,454906.47,394892.63,60013.84,55762.39,456855.27,390422.22,315157.64,75264.58,66433.05,41363.23,2473512.9
2018,Triwulan II,1395305.62,512474.25,55353.44,188646.99,96019.11,347008.26,129548.58,66255,30421.72,193533.58,116554,76979.58,828060.11,614783.89,82296.43,48337.88,14304.19,46982.12,21355.6,81439.27,548583,489856.57,428155.15,61701.42,58726.43,526297.24,455714.76,375223.54,80491.22,70582.48,52806.54,2603852.6
2019,Triwulan II,1467584.81,539118.68,58060.26,197612.11,102066.59,364618.75,137644.28,68464.13,35070.44,209471.3,131553.53,77917.77,865774.7,648328.86,88203.06,47270.55,13741.14,46918.68,21312.41,59179.55,541848.28,482360.73,438150.68,44210.06,59487.55,495399.15,424999.69,353118.4,71881.29,70399.46,51884.16,2735414.1
2020,Triwulan II,1386530.18,535191.06,55073.27,202272.48,104126.73,308718.51,114893.6,66254.54,32340.5,195839.49,117260.37,78579.12,791207.14,614245.37,76890.49,31103.01,10155.9,39940.73,18871.64,66004.87,468226.03,445542.7,400437.05,45105.65,22683.33,390004.19,353802.13,302265.3,51536.83,36202.06,39625.2,2589769.2
2021,Triwulan II,1469141.77,557526.28,55981.61,206492.66,105210.33,340929.71,133716.15,69285.02,33654.94,212083.75,127593.28,84490.47,850707.02,640998.61,91501.46,44300.92,13881.63,40364.89,19659.51,56016.23,601482.8,575950.7,516328.09,59622.61,25532.1,519481.59,469199.57,397052.11,72147.46,50282.02,69460.3,2773065.2
2022,Triwulan II,1550186.39,580464.02,58425.53,213337.69,109699.89,373953.79,142552.17,71753.3,35348.66,202300.26,112098.48,90201.78,876982.85,646902.21,106414.72,47384.08,13283.43,41966.95,21031.46,53462.39,699671.72,658178.04,601961.14,56216.9,41493.68,587328.48,516806.95,440797.63,76009.32,70521.53,93817.61,2924441.4
2023,Triwulan II,1631160.42,602511.99,62519.58,221409.35,115743.42,402378.55,152174,74423.53,38385.62,223483.37,135902.55,87580.82,917570.4,668382.31,114572.12,54727.55,12580.23,44325.45,22982.75,59316.93,679303.18,621960.47,565680.14,56280.34,57342.71,568340.38,488535.69,412247.27,76288.42,79804.69,94897.05,3075776.6
