Tahun;Klasifikasi; Pendapatan Negara; Penerimaan Dalam Negeri; Penerimaan Perpajakan; Pendapatan Pajak Dalam Negeri; Pendapatan Pajak Penghasilan; Pendapatan Pajak Pertambahan Nilai dan PPnBM; Pendapatan Pajak Bumi dan Bangunan; Pendapatan Pajak lainnya; Pendapatan Cukai; Pendapatan Pajak Perdagangan Internasional; Bea Masuk; Bea Keluar; Penerimaan Negara Bukan Pajak; Penerimaan SDA; Pendapatan dari Kekayaan Negara Dipisahkan; Pendapatan PNBP Lainnya; Pendapatan Badan Layanan Umum; Penerimaan Hibah; Belanja Negara; Belanja Pemerintah Pusat; Belanja Pegawai; Belanja Barang; Belanja Modal; Subsidi; Belanja Hibah; Bantuan Sosial; Belanja Lain-lain; Transfer Ke Daerah; Dana Bagi Hasil; Dana Alokasi Umum; Dana Alokasi Khusus; Dana Otonomi Khusus; Keseimbangan Primer; Surplus/Defisit Anggaran (A - B); Pembiayaan Anggaran
2011;Realisasi;1.210.599,70;1.205.345,70;873.873,90;819.752,40;431.121,70;277.800,10;29.893,20;3.928,20;77.010,00;54.121,50;25.265,90;28.855,60;331.471,80;213.823,40;28.184,00;69.360,50;20.104,00;5.253,90;883.721,90;883.721,90;175.737,90;124.639,50;117.854,50;295.358,20;300,1;71.104,30;5.465,40;411.324,80;96.909,00;225.533,70;24.803,50;64.078,60;420.139,70;326.877,80;130.948,90
2012;Realisasi;1.338.109,50;1.332.322,80;980.518,00;930.861,70;465.069,50;337.584,60;28.968,90;4.210,90;95.027,90;49.656,30;28.418,40;21.237,90;351.804,70;225.844,00;30.798,00;73.458,50;21.704,30;5.786,70;1.010.558,20;1.010.558,20;197.863,60;140.884,90;145.104,10;346.420,40;75,1;75.621,10;4.073,10;480.645,10;111.537,20;273.814,40;81.953,10;11.952,60;-52.784,80;-153.300,80;175.158,20
2013;Realisasi;1.438.891,10;1.432.058,60;1.077.306,70;1.029.850,10;506.442,80;384.713,50;25.304,60;4.937,10;108.452,10;47.456,60;31.621,30;15.835,40;354.751,90;226.406,20;34.025,60;69.671,90;24.648,20;6.832,50;1.137.162,90;1.137.162,90;221.688,80;169.722,70;180.864,20;355.045,20;1.303,00;92.136,10;3.367,50;513.260,40;88.463,10;311.139,30;98.709,00;13.445,60;-98.637,10;-211.672,60;237.394,60
2014;Realisasi;1.550.490,80;1.545.456,30;1.146.865,80;1.103.217,60;546.180,90;409.181,60;23.476,20;6.293,40;118.085,50;43.648,10;32.319,10;11.329,00;398.590,50;240.848,30;40.314,40;87.746,80;29.681,00;5.034,50;1.203.577,20;1.203.577,20;243.719,90;176.622,30;147.347,90;391.962,50;907,5;97.924,70;11.651,10;573.703,10;103.939,00;341.219,30;110.589,00;16.148,80;-93.250,70;-226.692,00;248.892,80
2015;Realisasi;1.508.020,40;1.496.047,30;1.240.418,90;1.205.478,90;602.308,10;423.710,80;29.250,00;5.568,30;144.641,30;34.940,00;31.212,80;3.727,10;255.628,50;100.971,90;37.643,70;81.697,40;35.315,50;11.973,00;1.183.303,70;1.183.303,70;281.142,70;233.281,10;215.434,20;185.971,10;4.261,70;97.151,20;10.051,90;623.139,60;78.053,40;352.887,80;152.104,70;17.115,50;-142.485,10;-298.494,80;323.108,00
2016;Realisasi;1.555.934,30;1.546.946,60;1.284.970,10;1.249.499,50;657.162,70;412.213,50;19.443,20;17.154,50;143.525,00;35.470,70;32.472,10;2.998,60;261.976,40;64.901,90;37.133,20;117.995,40;41.945,90;8.987,70;1.154.018,20;1.154.018,20;305.141,50;259.646,90;169.474,20;174.226,80;7.129,90;49.613,50;6.024,00;710.256,90;90.534,90;385.360,80;163.869,90;18.264,40;-125.579,60;-308.340,90;334.503,30
2017;Realisasi;1.666.375,90;1.654.746,10;1.343.529,80;1.304.316,30;637.859,30;480.724,60;16.770,30;15.672,60;153.288,10;39.213,60;35.066,20;4.147,40;311.216,30;111.132,00;43.904,20;108.834,60;47.345,40;11.629,80;1.265.359,40;1.265.359,40;312.728,80;291.459,10;208.656,70;166.401,10;5.445,70;55.297,20;8.802,90;741.992,40;88.232,20;398.582,30;167.668,00;19.443,30;-124.407,90;-340.975,90;366.623,80
2018;Realisasi;1.943.674,90;1.928.110,00;1.518.789,80;1.472.908,00;739.864,90;537.267,90;19.444,90;16.741,60;159.588,60;45.881,80;39.116,70;6.765,10;409.320,20;180.592,60;45.060,50;128.574,00;55.093,10;15.564,90;1.455.324,80;1.455.324,80;346.890,80;347.468,30;184.127,60;216.883,30;1.520,60;84.318,40;16.163,80;757.792,90;93.704,00;401.489,60;173.449,60;20.059,60;-11.490,80;-269.442,90;305.692,60
2019;Realisasi;1.960.641,00;1.955.141,00;1.546.141,00;1.505.090,00;772.300,00;531.600,00;21.100,00;7.700,00;172.390,00;41.051,00;37.514,00;3.537,00;409.000,00;154.900,00;80.700,00;124.500,00;48.900,00;5.500,00;1.496.313,90;1.496.313,90;376.074,30;334.418,20;177.841,50;201.802,60;6.476,20;112.480,30;11.699,70;812.973,40;103.980,00;420.910,20;186.394,70;20.979,90;-73.125,10;-348.646,30;402.051,50
2020;Realisasi;1.647.783,30;1.628.950,50;1.285.136,30;1.248.415,10;594.033,30;450.328,10;20.953,60;6.790,80;176.309,30;36.721,20;32.443,50;4.277,70;343.814,20;97.225,10;66.080,50;111.200,30;69.308,30;18.832,80;1.832.950,90;1.832.950,90;380.532,20;422.338,20;190.919,80;196.231,50;6.275,90;202.530,00;120.035,20;762.530,20;93.906,40;381.612,50;176.578,80;19.556,70;-633.609,70;-947.697,80;1.193.293,80
